image_path,label
fashion_mnist/train/9/0.png,Ankle boot
fashion_mnist/train/0/1.png,T-shirt/top
fashion_mnist/train/0/2.png,T-shirt/top
fashion_mnist/train/3/3.png,Dress
fashion_mnist/train/0/4.png,T-shirt/top
fashion_mnist/train/2/5.png,Pullover
fashion_mnist/train/7/6.png,Sneaker
fashion_mnist/train/2/7.png,Pullover
fashion_mnist/train/5/8.png,Sandal
fashion_mnist/train/5/9.png,Sandal
fashion_mnist/train/0/10.png,T-shirt/top
fashion_mnist/train/9/11.png,Ankle boot
fashion_mnist/train/5/12.png,Sandal
fashion_mnist/train/5/13.png,Sandal
fashion_mnist/train/7/14.png,Sneaker
fashion_mnist/train/9/15.png,Ankle boot
fashion_mnist/train/1/16.png,Trouser
fashion_mnist/train/0/17.png,T-shirt/top
fashion_mnist/train/6/18.png,Shirt
fashion_mnist/train/4/19.png,Coat
fashion_mnist/train/3/20.png,Dress
fashion_mnist/train/1/21.png,Trouser
fashion_mnist/train/4/22.png,Coat
fashion_mnist/train/8/23.png,Bag
fashion_mnist/train/4/24.png,Coat
fashion_mnist/train/3/25.png,Dress
fashion_mnist/train/0/26.png,T-shirt/top
fashion_mnist/train/2/27.png,Pullover
fashion_mnist/train/4/28.png,Coat
fashion_mnist/train/4/29.png,Coat
fashion_mnist/train/5/30.png,Sandal
fashion_mnist/train/3/31.png,Dress
fashion_mnist/train/6/32.png,Shirt
fashion_mnist/train/6/33.png,Shirt
fashion_mnist/train/0/34.png,T-shirt/top
fashion_mnist/train/8/35.png,Bag
fashion_mnist/train/5/36.png,Sandal
fashion_mnist/train/2/37.png,Pullover
fashion_mnist/train/1/38.png,Trouser
fashion_mnist/train/6/39.png,Shirt
fashion_mnist/train/6/40.png,Shirt
fashion_mnist/train/7/41.png,Sneaker
fashion_mnist/train/9/42.png,Ankle boot
fashion_mnist/train/5/43.png,Sandal
fashion_mnist/train/9/44.png,Ankle boot
fashion_mnist/train/2/45.png,Pullover
fashion_mnist/train/7/46.png,Sneaker
fashion_mnist/train/3/47.png,Dress
fashion_mnist/train/0/48.png,T-shirt/top
fashion_mnist/train/3/49.png,Dress
fashion_mnist/train/3/50.png,Dress
fashion_mnist/train/3/51.png,Dress
fashion_mnist/train/7/52.png,Sneaker
fashion_mnist/train/2/53.png,Pullover
fashion_mnist/train/2/54.png,Pullover
fashion_mnist/train/6/55.png,Shirt
fashion_mnist/train/6/56.png,Shirt
fashion_mnist/train/8/57.png,Bag
fashion_mnist/train/3/58.png,Dress
fashion_mnist/train/3/59.png,Dress
fashion_mnist/train/5/60.png,Sandal
fashion_mnist/train/0/61.png,T-shirt/top
fashion_mnist/train/5/62.png,Sandal
fashion_mnist/train/5/63.png,Sandal
fashion_mnist/train/0/64.png,T-shirt/top
fashion_mnist/train/2/65.png,Pullover
fashion_mnist/train/0/66.png,T-shirt/top
fashion_mnist/train/0/67.png,T-shirt/top
fashion_mnist/train/4/68.png,Coat
fashion_mnist/train/1/69.png,Trouser
